index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint
1,ft_gauge (1).jpg,guage,,0,psi,Alert if reading is at 0 psi.,0 psi,Rule A,Value is 0. System is at 0.,0,UNSAFE,Dataset_FineTune/Selected images/ft_gauge (1).jpg,Dataset_FineTune/Preprocessed/ft_gauge (1).jpg,
2,ft_gauge (1).jpg,guage,,0,psi,Alert if > 5 psi.,0 psi,Rule B,Value is 0. 0 < 5.,0,SAFE,Dataset_FineTune/Selected images/ft_gauge (1).jpg,Dataset_FineTune/Preprocessed/ft_gauge (1).jpg,
3,ft_gauge (2).jpg,guage,,0,bar,Alert if reading is at 0 bar.,0 bar,Rule A,Value is 0. System is at 0.,0,UNSAFE,Dataset_FineTune/Selected images/ft_gauge (2).jpg,Dataset_FineTune/Preprocessed/ft_gauge (2).jpg,
4,ft_gauge (2).jpg,guage,,0,bar,Alert if > 0.5 bar.,0 bar,Rule B,Value is 0. 0 < 0.5.,0,SAFE,Dataset_FineTune/Selected images/ft_gauge (2).jpg,Dataset_FineTune/Preprocessed/ft_gauge (2).jpg,
5,ft_gauge (3).jpg,guage,Oblique Angle,85,bar,Alert if > 73 bar.,85 bar,Rule A,Value is 85. 85 > 73.,1,UNSAFE,Dataset_FineTune/Selected images/ft_gauge (3).jpg,Dataset_FineTune/Preprocessed/ft_gauge (3).jpg,Oblique Angle
6,ft_gauge (3).jpg,guage,Oblique Angle,85,bar,Alert if > 97 bar.,85 bar,Rule B,Value is 85. 85 < 97.,1,SAFE,Dataset_FineTune/Selected images/ft_gauge (3).jpg,Dataset_FineTune/Preprocessed/ft_gauge (3).jpg,Oblique Angle
7,ft_gauge (4).jpg,guage,,1.6,bar,Alert if > 0.7 bar.,1.6 bar,Rule A,Value is 1.6. 1.6 > 0.7.,0,UNSAFE,Dataset_FineTune/Selected images/ft_gauge (4).jpg,Dataset_FineTune/Preprocessed/ft_gauge (4).jpg,
8,ft_gauge (4).jpg,guage,,1.6,bar,Alert if > 2.5 bar.,1.6 bar,Rule B,Value is 1.6. 1.6 < 2.5.,0,SAFE,Dataset_FineTune/Selected images/ft_gauge (4).jpg,Dataset_FineTune/Preprocessed/ft_gauge (4).jpg,
9,ft_gauge (5).jpg,guage,Low Contrast,0,kg/cm²,Alert if reading is at 0 kg/cm².,0 kg/cm²,Rule A,Value is 0. System is at 0.,1,UNSAFE,Dataset_FineTune/Selected images/ft_gauge (5).jpg,Dataset_FineTune/Preprocessed/ft_gauge (5).jpg,Low Contrast
10,ft_gauge (5).jpg,guage,Low Contrast,0,kg/cm²,Alert if > 0.5 kg/cm².,0 kg/cm²,Rule B,Value is 0. 0 < 0.5.,1,SAFE,Dataset_FineTune/Selected images/ft_gauge (5).jpg,Dataset_FineTune/Preprocessed/ft_gauge (5).jpg,Low Contrast
11,ft_gauge (6).jpg,guage,Oblique Angle,2.2,,Alert if > 0.6 NA.,2.2 NA,Rule A,Value is 2.2. 2.2 > 0.6.,0,UNSAFE,Dataset_FineTune/Selected images/ft_gauge (6).jpg,Dataset_FineTune/Preprocessed/ft_gauge (6).jpg,Oblique Angle
12,ft_gauge (6).jpg,guage,Oblique Angle,2.2,,Alert if > 3.8 NA.,2.2 NA,Rule B,Value is 2.2. 2.2 < 3.8.,0,SAFE,Dataset_FineTune/Selected images/ft_gauge (6).jpg,Dataset_FineTune/Preprocessed/ft_gauge (6).jpg,Oblique Angle
