index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,run_iteration,model_verdict,model_reasoning
1,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.10 bar.,0.15 bar,Rule A,Value is 0.15. 0.15 > 0.10.,1,UNSAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,Q1: Observation: The gauge reads 0.15 bar on the right side of the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 0.15 bar on the right side of the scale. Q2: Evaluation: No Q3:
2,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.20 bar.,0.15 bar,Rule B,Value is 0.15. 0.15 < 0.20.,1,SAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,Q1: Observation: The gauge reads 0.25 bar on the right side of the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 0.25 bar on the right side of the scale. Q2: Evaluation: No Q3:
3,guage (10).jpg,guage,,0,bar,Alert if pressure is above 0.05 bar.,0 bar,Rule A,Value is 0. 0 < 0.05.,0,SAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"Q1: Observation: The gauge reads 0.06 bar on the scale marked ""0.05 bar"". Q2: Evaluation: No Q3: Final Verdict: SAFE",1,SAFE,"Q1: Observation: The gauge reads 0.06 bar on the scale marked ""0.05 bar"". Q2: Evaluation: No Q3:"
4,guage (10).jpg,guage,,0,bar,Alert if system is non-pressurized (0 bar).,0 bar,Rule B,Value is 0. System is non-pressurized.,0,UNSAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,Q1: Observation: The gauge reads 0 bars on the scale below it. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 0 bars on the scale below it. Q2: Evaluation: No Q3:
5,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 20 kPa. Alert if over.,25 kPa,Rule A,Value is 25. 25 > 20.,1,UNSAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,Q1: Observation: The gauge reads 45 kPa on the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 45 kPa on the scale. Q2: Evaluation: No Q3:
6,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 30 kPa. Alert if over.,25 kPa,Rule B,Value is 25. 25 < 30.,1,SAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,Q1: Observation: The gauge reads 45 kPa on the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 45 kPa on the scale. Q2: Evaluation: No Q3:
7,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 80 NA.,100 NA,Rule A,Value is 100. 100 > 80.,1,UNSAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"Q1: Observation: The image shows a gauge with a red line indicating a reading of approximately 75 on the scale, which is below the maximum limit of 80 that would trigger the Safety Rule alert.  Q2: Evaluation: No  Q3: Final Verdict: SAFE",1,SAFE,"Q1: Observation: The image shows a gauge with a red line indicating a reading of approximately 75 on the scale, which is below the maximum limit of 80 that would trigger the Safety Rule alert.  Q2: Evaluation: No  Q3:"
8,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 120 NA.,100 NA,Rule B,Value is 100. 100 < 120.,1,SAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,Q1: Observation: The image shows a gauge with a red line indicating a reading of approximately 125. This is within the safe range for this gauge and does not exceed 120.  Q2: Evaluation: No  Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The image shows a gauge with a red line indicating a reading of approximately 125. This is within the safe range for this gauge and does not exceed 120.  Q2: Evaluation: No  Q3:
9,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 1.5 bar. Alert if over.,2 bar,Rule A,Value is 2. 2 > 1.5.,1,UNSAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,Q1: Observation: The gauge reads 0.8 bar on the right side of the scale and 1.4 bar on the left side of the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 0.8 bar on the right side of the scale and 1.4 bar on the left side of the scale. Q2: Evaluation: No Q3:
10,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 3.0 bar. Alert if over.,2 bar,Rule B,Value is 2. 2 < 3.0.,1,SAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,Q1: Observation: The gauge reads 3.5 bars on the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 3.5 bars on the scale. Q2: Evaluation: No Q3:
11,guage (14).jpg,guage,,18,lbf/in2,Alert if pressure exceeds 14 lbf/in2.,18 lbf/in2,Rule A,Value is 18. 18 > 14.,0,UNSAFE,Dataset/Guages/guage (14).jpg,Data_Preprocessed/guage (14).jpg,,Q1: Observation: The gauge reads 15 pounds per square inch (psi). Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 15 pounds per square inch (psi). Q2: Evaluation: No Q3:
12,guage (14).jpg,guage,,18,lbf/in2,Alert if pressure exceeds 22 lbf/in2.,18 lbf/in2,Rule B,Value is 18. 18 < 22.,0,SAFE,Dataset/Guages/guage (14).jpg,Data_Preprocessed/guage (14).jpg,,Q1: Observation: The gauge reads 24 pounds per square inch (psi). Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 24 pounds per square inch (psi). Q2: Evaluation: No Q3:
13,guage (15).jpg,guage,Low Resolution,0,,Alert if reading is above 5 NA.,0 NA,Rule A,Value is 0. 0 < 5.,1,SAFE,Dataset/Guages/guage (15).jpg,Data_Preprocessed/guage (15).jpg,Low Resolution,Q1: Observation: The numeric reading on the gauge is 4.0. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The numeric reading on the gauge is 4.0. Q2: Evaluation: No Q3:
14,guage (15).jpg,guage,Low Resolution,0,,Alert if system is at 0 NA.,0 NA,Rule B,Value is 0. System is at 0.,1,UNSAFE,Dataset/Guages/guage (15).jpg,Data_Preprocessed/guage (15).jpg,Low Resolution,"Q1: Observation: The gauge shows a reading of 0 on the left side of the scale and a red ""NA"" symbol on the right side of the scale. Q2: Evaluation: Yes Q3: Final Verdict: UNSAFE",1,UNSAFE,"Q1: Observation: The gauge shows a reading of 0 on the left side of the scale and a red ""NA"" symbol on the right side of the scale. Q2: Evaluation: Yes Q3:"
15,guage (16).jpg,guage,,125,kN/m2,Alert if value exceeds 100 kN/m2.,125 kN/m2,Rule A,Value is 125. 125 > 100.,0,UNSAFE,Dataset/Guages/guage (16).jpg,Data_Preprocessed/guage (16).jpg,,Q1: Observation: The gauge reads 85 kPa on the scale below. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 85 kPa on the scale below. Q2: Evaluation: No Q3:
16,guage (16).jpg,guage,,125,kN/m2,Alert if value exceeds 150 kN/m2.,125 kN/m2,Rule B,Value is 125. 125 < 150.,0,SAFE,Dataset/Guages/guage (16).jpg,Data_Preprocessed/guage (16).jpg,,Q1: Observation: The gauge reads 149.8 kN/m2. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 149.8 kN/m2. Q2: Evaluation: No Q3:
17,guage (17).jpg,guage,Oblique Angle,200,psi,Alert if pressure is > 160 psi.,200 psi,Rule A,Value is 200. 200 > 160.,1,UNSAFE,Dataset/Guages/guage (17).jpg,Data_Preprocessed/guage (17).jpg,Oblique Angle,Q1: Observation: The gauge reads 175 psi on the right side of the image. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 175 psi on the right side of the image. Q2: Evaluation: No Q3:
18,guage (17).jpg,guage,Oblique Angle,200,psi,Alert if pressure is > 240 psi.,200 psi,Rule B,Value is 200. 200 < 240.,1,SAFE,Dataset/Guages/guage (17).jpg,Data_Preprocessed/guage (17).jpg,Oblique Angle,Q1: Observation: The gauge reads 250 pounds per square inch (psi). Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 250 pounds per square inch (psi). Q2: Evaluation: No Q3:
19,guage (18).jpg,guage,Oblique Angle,30,,Alert if reading exceeds 24 NA.,30 NA,Rule A,Value is 30. 30 > 24.,1,UNSAFE,Dataset/Guages/guage (18).jpg,Data_Preprocessed/guage (18).jpg,Oblique Angle,Q1: Observation: The image shows a gauge with a red line indicating a reading of 25.0 on the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The image shows a gauge with a red line indicating a reading of 25.0 on the scale. Q2: Evaluation: No Q3:
20,guage (18).jpg,guage,Oblique Angle,30,,Alert if reading exceeds 36 NA.,30 NA,Rule B,Value is 30. 30 < 36.,1,SAFE,Dataset/Guages/guage (18).jpg,Data_Preprocessed/guage (18).jpg,Oblique Angle,Q1: Observation: The image shows a gauge with a red line indicating a reading of approximately 40.5 on the scale. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The image shows a gauge with a red line indicating a reading of approximately 40.5 on the scale. Q2: Evaluation: No Q3:
21,guage (19).jpg,guage,Oblique Angle,2.2,liter,Alert if level is > 1.7 liter.,2.2 liter,Rule A,Value is 2.2. 2.2 > 1.7.,1,UNSAFE,Dataset/Guages/guage (19).jpg,Data_Preprocessed/guage (19).jpg,Oblique Angle,Q1: Observation: The gauge reads 1.6 liters. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 1.6 liters. Q2: Evaluation: No Q3:
22,guage (19).jpg,guage,Oblique Angle,2.2,liter,Alert if level is > 2.7 liter.,2.2 liter,Rule B,Value is 2.2. 2.2 < 2.7.,1,SAFE,Dataset/Guages/guage (19).jpg,Data_Preprocessed/guage (19).jpg,Oblique Angle,Q1: Observation: The gauge reads 2.5 liters. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 2.5 liters. Q2: Evaluation: No Q3:
23,guage (2).jpg,guage,Oblique Angle,0,kg/cm2,Alert if value exceeds 2 kg/cm2.,0 kg/cm2,Rule A,Value is 0. 0 < 2.,1,SAFE,Dataset/Guages/guage (2).jpg,Data_Preprocessed/guage (2).jpg,Oblique Angle,Q1: Observation: The gauge reads 0.5 kg/cm². Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 0.5 kg/cm². Q2: Evaluation: No Q3:
24,guage (2).jpg,guage,Oblique Angle,0,kg/cm2,Alert if system pressure drops to 0 kg/cm2.,0 kg/cm2,Rule B,Value is 0. System pressure is at 0.,1,UNSAFE,Dataset/Guages/guage (2).jpg,Data_Preprocessed/guage (2).jpg,Oblique Angle,Q1: Observation: The gauge reads 0 kg/cm2 on the scale below. Q2: Evaluation: Yes Q3: Final Verdict: UNSAFE,1,UNSAFE,Q1: Observation: The gauge reads 0 kg/cm2 on the scale below. Q2: Evaluation: Yes Q3:
25,guage (20).jpg,guage,Glare,4,kgf/cm2,Alert if needle is past 3.0 kgf/cm2.,4 kgf/cm2,Rule A,Value is 4. 4 > 3.0.,1,UNSAFE,Dataset/Guages/guage (20).jpg,Data_Preprocessed/guage (20).jpg,Glare,Q1: Observation: The gauge reads 4.5 kgf/cm2. Q2: Evaluation: No Q3: Final Verdict: SAFE,1,SAFE,Q1: Observation: The gauge reads 4.5 kgf/cm2. Q2: Evaluation: No Q3:
