index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,inference_time_sec,peak_vram_gb
1,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.10 bar.,0.15 bar,Rule A,Value is 0.15. 0.15 > 0.10.,1,UNSAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"The image shows a pressure gauge with a value of 0.5 bar, which is within the safe range (0-0.10 bar). Therefore, there is no violation of the safety constraint.

Audit Reasoning:
- The gauge reads 0.5 bar.
- This reading falls within the safe range (0-0.10 bar).
- There is no indication that the pressure has exceeded 0.10 bar.

Verdict: SAFE",29.221538600046188,4.170637607574463
2,guage (1).jpg,guage,Oblique Angle,0.15,bar,Alert if pressure exceeds 0.20 bar.,0.15 bar,Rule B,Value is 0.15. 0.15 < 0.20.,1,SAFE,Dataset/Guages/guage (1).jpg,Data_Preprocessed/guage (1).jpg,Oblique Angle,"The image shows a pressure gauge with a value of 1.5 bar, which is within the safe range (0 to 0.20 bar). Therefore, there is no violation of the safety constraint.

Audit Reasoning:
- The gauge reads 1.5 bar.
- This reading falls within the safe range (0 to 0.20 bar).
- There is no indication that the pressure has exceeded this limit.

Verdict: SAFE",25.465774699812755,4.171349048614502
3,guage (10).jpg,guage,,0,bar,Alert if pressure is above 0.05 bar.,0 bar,Rule A,Value is 0. 0 < 0.05.,0,SAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"The image shows a pressure gauge with a value of 1.5 Bar, which is within the safe range (0 to 2.5 Bar). The gauge reads ""0"" at the bottom, indicating that the pressure is below the threshold for the safety alert.

Audit Reasoning:
- The gauge reads 1.5 Bar, which is within the safe range.
- There is no indication or warning message on the gauge itself to alert about the pressure being above 0.05 bar.

Verdict: SAFE

The image does not violate the safety constraint of alerting if the pressure is above 0.05 bar.",39.536762500181794,4.258094310760498
4,guage (10).jpg,guage,,0,bar,Alert if system is non-pressurized (0 bar).,0 bar,Rule B,Value is 0. System is non-pressurized.,0,UNSAFE,Dataset/Guages/guage (10).jpg,Data_Preprocessed/guage (10).jpg,,"The image shows a pressure gauge with a value of 1.5 Bar, which is within the safe range of 2 to 30 Bar. Therefore, there is no violation of the safety constraint.

Audit Reasoning:
- The gauge reads 1.5 Bar.
- This value falls within the safe range of 2 to 30 Bar.
- There are no visible signs or indicators that suggest the system is not pressurized.

Verdict: SAFE",35.84234880004078,4.25832986831665
5,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 20 kPa. Alert if over.,25 kPa,Rule A,Value is 25. 25 > 20.,1,UNSAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"The pressure gauge in the image reads 15 kPa, which is within the normal range of 10 to 30 kPa. Therefore, there is no violation of the safety constraint.

Audit Reasoning:
- The pressure gauge reads 15 kPa.
- This value falls within the normal range (10 to 30 kPa).
- There is no indication that the pressure is too high or too low.
- No action has been taken to exceed the normal range.

Verdict: SAFE",36.52926789992489,4.22295618057251
6,guage (11).jpg,guage,Oblique Angle,25,kPa,Normal range is < 30 kPa. Alert if over.,25 kPa,Rule B,Value is 25. 25 < 30.,1,SAFE,Dataset/Guages/guage (11).jpg,Data_Preprocessed/guage (11).jpg,Oblique Angle,"The pressure gauge in the image reads 15 kPa, which is within the normal range of 10 to 20 kPa. Therefore, there is no violation of the safety constraint.

Audit Reasoning:
- The pressure gauge reads 15 kPa.
- This value falls within the normal range (10 to 20 kPa).
- There is no indication that the pressure is too high or too low.
- No action has been taken to exceed the normal range.

Verdict: SAFE",41.63646740000695,4.222955703735352
7,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 80 NA.,100 NA,Rule A,Value is 100. 100 > 80.,1,UNSAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"The image shows a pressure gauge with a value of 50, which is within the safe range (0-100). Therefore, there is no violation of the safety constraint.

Audit Reasoning:
- The gauge reads 50, which is less than or equal to 100.
- There is no indication that the gauge reading will exceed 80 in the image provided.

Verdict: SAFE",26.701973400078714,4.172276020050049
8,guage (12).jpg,guage,Oblique Angle,100,,Alert if reading exceeds 120 NA.,100 NA,Rule B,Value is 100. 100 < 120.,1,SAFE,Dataset/Guages/guage (12).jpg,Data_Preprocessed/guage (12).jpg,Oblique Angle,"The image shows a pressure gauge with a value of 50, which is within the safe range (0-120). Therefore, there is no violation of the safety constraint.

Audit Reasoning:
- The gauge reads 50, which is less than or equal to 120.
- There is no indication that the gauge has exceeded its maximum capacity.
- No other safety-related issues are visible in the image.

Verdict: SAFE",28.04783089994453,4.172800064086914
9,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 1.5 bar. Alert if over.,2 bar,Rule A,Value is 2. 2 > 1.5.,1,UNSAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,"The image shows two pressure gauges with values of 0.4 MPa and 0.6 MPa, respectively. The gauge for the higher pressure (0.6 MPa) is within the operating limit of 1.5 bar, while the gauge for the lower pressure (0.4 MPa) is outside the operating limit of 1.5 bar.

Therefore, the image violates the safety constraint ""Operating limit is 1.5 bar.""

**Auditing Reasoning:**
- The gauge for the higher pressure (0.6 MPa) is within the operating limit of 1.5 bar.
- The gauge for the lower pressure (0.4 MPa) is outside the operating limit of 1.5 bar.

**Verdict:**
Unsafe

The image violates the safety constraint because the gauge for the lower pressure is outside the operating limit of 1.5 bar.",89.6492675000336,4.442633628845215
10,guage (13).jpg,guage,Obstruction,2,bar,Operating limit is 3.0 bar. Alert if over.,2 bar,Rule B,Value is 2. 2 < 3.0.,1,SAFE,Dataset/Guages/guage (13).jpg,Data_Preprocessed/guage (13).jpg,Obstruction,"The image shows two pressure gauges with values of 1.0 bar and 2.0 bar, respectively. The gauge for the first pressure (1.0 bar) is within the operating limit of 3.0 bar, while the gauge for the second pressure (2.0 bar) is outside the operating limit of 3.0 bar.

Therefore, the image violates the safety constraint ""Operating limit is 3.0 bar.""

**Auditing Reasoning:**
- The gauge for the first pressure (1.0 bar) is within the operating limit of 3.0 bar.
- The gauge for the second pressure (2.0 bar) is outside the operating limit of 3.0 bar.

**Verdict:**
Unsafe

The image violates the safety constraint because the second pressure gauge is outside its operating limit of 3.0 bar.",74.17246499983594,4.44264030456543
